task,circuit,ablation,n_heads,faithfulness,WIF,order1_pct,order2_pct,order3plus_pct,LOO_epistasis,LOO_stable,TSII,metric_source
GT,ablation_discovered,mean,7,0.9155,0.0457,95.4,3.3,1.3,0.3837,True,0.4747,prob_diff
GT,ablation_discovered,zero,7,1.0199,0.2755,72.4,25.2,2.3,0.7085,True,1.5839,prob_diff
GT,acdc,mean,7,0.6592,0.0081,99.2,0.8,0.1,0.0503,True,0.2225,scores
GT,acdc,resample,7,0.6502,0.038,96.2,3.8,0.0,0.378,True,0.2878,prob_diff
GT,acdc,zero,7,0.2831,0.0514,94.9,4.8,0.4,-0.3123,True,0.3419,scores
GT,c5_walsh,mean,7,0.9536,0.047,95.3,3.5,1.2,0.4602,True,0.4306,prob_diff
GT,c5_walsh,resample,7,0.9341,0.04,96.0,3.9,0.1,0.524,True,0.4784,prob_diff
GT,c5_walsh,zero,7,0.6651,0.2459,75.4,23.7,0.9,0.5634,True,0.7605,prob_diff
GT,c6_epistatic,mean,7,0.9169,0.0755,92.4,5.4,2.1,0.5045,True,0.6768,prob_diff
GT,c6_epistatic,resample,7,0.9168,0.039,96.1,3.8,0.1,0.502,True,0.4499,prob_diff
GT,c6_epistatic,zero,7,0.3017,0.3991,60.1,32.5,7.4,0.1738,True,0.9542,prob_diff
GT,greedy_sufficiency,mean,7,0.2106,0.0081,99.2,0.8,0.0,0.2098,True,0.0818,scores
GT,greedy_sufficiency,zero,7,0.0034,0.0338,96.6,3.2,0.1,,False,0.0749,scores
GT,known,mean,7,0.8763,0.0591,94.1,5.6,0.3,0.5508,True,0.4368,prob_diff
GT,known,resample,7,1.3134,0.018,98.2,0.9,0.9,0.557,True,0.2582,prob_diff
GT,known,zero,7,0.3526,0.1278,87.2,11.3,1.5,0.4158,True,0.3729,prob_diff
GT,random,mean,7,0.0338,0.0237,97.6,2.3,0.0,,False,0.0251,prob_diff
GT,random,resample,7,0.0046,0.0,100.0,0.0,0.0,,False,0.0011,prob_diff
GT,random,zero,7,0.0995,0.0725,92.7,5.8,1.4,,False,0.1065,prob_diff
IOI,C2,mean,15,1.1306,0.0957,90.4,9.0,0.6,0.4761,True,3.1408,logit_diff_from_raw
IOI,C2,zero,15,2.1011,0.1911,80.9,15.2,3.9,-0.1255,True,5.7107,logit_diff_from_raw
IOI,C2_eap,resample,15,-0.3186,0.0696,93.0,6.0,1.0,-0.8183,True,6.9893,logit_diff
IOI,C3_canonical,mean,15,1.3851,0.2137,78.6,18.4,3.0,0.1083,True,4.2156,logit_diff_from_raw
IOI,C3_canonical,resample,15,3.141,0.131,86.9,12.0,1.1,0.6095,True,8.4036,logit_diff
IOI,C4_random,resample,15,0.1678,0.001,99.9,0.1,0.0,-0.0646,True,0.1149,logit_diff
IOI,C5,mean,15,1.5243,0.1908,80.9,16.8,2.3,0.2269,True,3.5468,logit_diff_from_raw
IOI,C5,zero,15,1.0287,0.3716,62.8,31.4,5.8,-0.6528,True,4.1078,logit_diff_from_raw
IOI,C5_walsh,resample,15,-1.0011,0.0221,97.8,2.1,0.1,-0.5556,True,3.159,logit_diff
IOI,C6,mean,15,1.4172,0.2159,78.4,18.6,3.0,0.0165,True,4.2271,logit_diff_from_raw
IOI,C6,zero,15,1.6607,0.3631,63.7,30.3,6.0,-0.3287,True,5.5846,logit_diff_from_raw
IOI,C6_epistatic,resample,15,1.8494,0.0866,91.3,8.5,0.2,1.2587,True,5.429,logit_diff
IOI,IC15,mean,15,-0.0025,0.0506,94.9,4.6,0.5,,False,0.9059,logit_diff_from_raw
IOI,IC15,zero,15,1.0511,0.118,88.2,9.3,2.4,0.2188,True,2.4576,logit_diff_from_raw
IOI,random,mean,15,0.0216,0.0212,97.9,2.1,0.0,,False,0.2367,logit_diff_from_raw
IOI,weight,mean,15,0.6982,0.1823,81.8,16.8,1.4,-0.1852,True,2.4791,logit_diff_from_raw
Induction,ablation_discovered,mean,7,4.0971,0.0948,90.5,7.3,2.2,0.3046,True,4.5086,log_prob
Induction,ablation_discovered,zero,7,2.4401,0.3031,69.7,23.1,7.2,0.627,True,4.1887,log_prob
Induction,acdc,mean,7,2.8907,0.0375,96.3,3.5,0.2,0.4115,True,1.397,scores
Induction,acdc,zero,7,4.2513,0.0149,98.5,1.2,0.3,0.3752,True,1.5041,scores
Induction,greedy_sufficiency,mean,7,2.8317,0.0303,97.0,3.0,0.0,0.3596,True,1.1066,scores
Induction,greedy_sufficiency,zero,7,4.0464,0.024,97.6,2.3,0.1,0.3828,True,1.4899,scores
Induction,known,mean,7,4.6149,0.0594,94.1,5.8,0.1,0.5633,True,2.7763,log_prob
Induction,known,zero,7,3.7375,0.2047,79.5,15.6,4.9,0.9663,True,8.085,log_prob
Induction,random,mean,7,0.1651,0.023,97.7,2.3,0.0,0.7927,True,0.1585,log_prob
Induction,random,zero,7,1.8915,0.0338,96.6,3.2,0.1,0.3652,True,0.9873,log_prob
RTI,C5_walsh,mean,15,1.0021,0.0839,91.6,8.1,0.3,0.6609,True,1.9017,logit_diff
RTI,EAP,mean,15,0.1766,0.2278,77.2,15.2,7.6,-2.6393,True,2.2235,logit_diff_from_raw
RTI,EAP,zero,15,2.3478,0.419,58.1,24.1,17.8,0.5205,True,9.0335,logit_diff_from_raw
RTI,known,mean,15,0.4137,0.0353,96.5,3.5,0.1,0.2704,True,0.4401,logit_diff_from_raw
RTI,known,zero,15,1.2674,0.0829,91.7,7.9,0.4,0.1734,True,1.7858,logit_diff_from_raw
RTI,random,mean,15,0.3086,0.0134,98.7,1.3,0.0,0.053,True,0.6075,logit_diff_from_raw
RTI,random,zero,15,-0.1489,0.058,94.2,5.0,0.8,-1.0037,True,0.7368,logit_diff_from_raw
RTI,known,resample,15,0.83,0.008,99.2,0.8,0.0,0.093,True,0.29,logit_diff
RTI,EAP,resample,15,0.29,0.199,80.1,16.6,3.3,-0.183,True,1.14,logit_diff
RTI,C5_walsh,resample,15,0.33,0.097,90.3,9.5,0.3,5.051,True,4.14,logit_diff
RTI,C6_epistatic,resample,15,2.62,0.122,87.8,11.1,1.1,1.462,True,7.79,logit_diff
RTI,random,resample,15,0.13,0.002,99.8,0.2,0.0,-0.041,True,0.14,logit_diff
IOI,ACDC,resample,15,0.93,0.014,98.6,1.3,0.2,-0.515,True,0.56,logit_diff
RTI,ACDC,resample,15,1.27,0.007,99.3,0.6,0.0,-0.263,True,0.57,logit_diff
