task,circuit,method_type,ablation,n_heads,n_prompts,faithfulness,order1_frac,order2_frac,order3plus_frac,epistasis
IOI,C2_eap,edge_attribution,mean,15,512,1.130591,0.9043,0.0897,0.006,
IOI,C2_eap,edge_attribution,zero,15,512,2.10109,0.8089,0.1521,0.039,
IOI,IC15,info_content,mean,15,512,-0.002534,0.9494,0.0456,0.005,
IOI,IC15,info_content,zero,15,512,1.051124,0.882,0.0935,0.0245,
IOI,C3_canonical,mechanistic,mean,15,512,1.385076,0.7863,0.1838,0.0299,
IOI,RTI_on_IOI,cross_task_control,mean,15,512,0.033948,0.9733,0.0261,0.0006,
IOI,C3_canonical,mechanistic,zero,15,512,1.601311,0.7897,0.1791,0.0311,
IOI,RTI_on_IOI,cross_task_control,zero,15,512,0.924251,0.9335,0.0603,0.0062,
IOI,C4_random,random,mean,15,512,0.021636,0.9788,0.021,0.0002,
IOI,C4_random,random,zero,15,512,-0.209733,0.9487,0.0468,0.0045,
IOI,C5_walsh,walsh_order1,mean,15,512,1.524299,0.8092,0.1678,0.023,
IOI,C5_walsh,walsh_order1,zero,15,512,1.028729,0.6284,0.314,0.0576,
IOI,C6_epistatic,walsh_order2,mean,15,512,1.417161,0.7841,0.1858,0.0301,
IOI,C6_epistatic,walsh_order2,zero,15,512,1.660652,0.6369,0.3031,0.06,
RTI,EAP_rti,edge_attribution,mean,15,302,0.176635,0.7722,0.1515,0.0763,
RTI,EAP_rti,edge_attribution,zero,15,302,2.347786,0.581,0.2414,0.1775,
RTI,RTI,mechanistic,mean,15,302,0.413693,0.9647,0.0347,0.0006,
RTI,RTI,mechanistic,zero,15,302,1.267418,0.9171,0.0788,0.0042,
RTI,C4_random,random,mean,15,302,0.308589,0.9866,0.0131,0.0003,
RTI,C4_random,random,zero,15,302,-0.148886,0.942,0.0496,0.0084,
greater_than,acdc_backward,acdc_backward,mean,7,1000,0.6592397317290306,0.9918679283931442,0.007623350404263652,0.0005087212025917167,0.05026687318328926
greater_than,acdc_backward,acdc_backward,zero,7,1000,0.28305957949161525,0.9486150632570622,0.04757604213296665,0.003808894609967225,-0.3123340668269994
greater_than,greedy_sufficiency,greedy_sufficiency,mean,7,1000,0.21059876683354373,0.9918670022323974,0.008002707070626147,0.0001302906969653109,0.20977217275913562
greater_than,greedy_sufficiency,greedy_sufficiency,zero,7,1000,0.0033647438287734976,0.9662429652401234,0.0322926739044996,0.001464360855376791,4.848122454231842
